class_id,class_name,correct,total,accuracy
24,025.Pelagic_Cormorant,18,30,60.0
77,078.Gray_Kingbird,17,29,58.620689655172406
123,124.Le_Conte_Sparrow,17,29,58.620689655172406
124,125.Lincoln_Sparrow,17,29,58.620689655172406
140,141.Artic_Tern,17,29,58.620689655172406
170,171.Myrtle_Warbler,17,30,56.666666666666664
30,031.Black_billed_Cuckoo,17,30,56.666666666666664
153,154.Red_eyed_Vireo,17,30,56.666666666666664
127,128.Seaside_Sparrow,17,30,56.666666666666664
48,049.Boat_tailed_Grackle,17,30,56.666666666666664
5,006.Least_Auklet,6,11,54.54545454545454
130,131.Vesper_Sparrow,16,30,53.333333333333336
110,111.Loggerhead_Shrike,16,30,53.333333333333336
169,170.Mourning_Warbler,16,30,53.333333333333336
173,174.Palm_Warbler,16,30,53.333333333333336
122,123.Henslow_Sparrow,16,30,53.333333333333336
198,199.Winter_Wren,16,30,53.333333333333336
32,033.Yellow_billed_Cuckoo,15,29,51.724137931034484
136,137.Cliff_Swallow,15,30,50.0
39,040.Olive_sided_Flycatcher,15,30,50.0
195,196.House_Wren,15,30,50.0
115,116.Chipping_Sparrow,15,30,50.0
71,072.Pomarine_Jaeger,15,30,50.0
171,172.Nashville_Warbler,14,30,46.666666666666664
65,066.Western_Gull,14,30,46.666666666666664
192,193.Bewick_Wren,14,30,46.666666666666664
155,156.White_eyed_Vireo,14,30,46.666666666666664
154,155.Warbling_Vireo,14,30,46.666666666666664
103,104.American_Pipit,14,30,46.666666666666664
145,146.Forsters_Tern,14,30,46.666666666666664
128,129.Song_Sparrow,14,30,46.666666666666664
64,065.Slaty_backed_Gull,9,20,45.0
19,020.Yellow_breasted_Chat,13,29,44.827586206896555
132,133.White_throated_Sparrow,13,30,43.333333333333336
10,011.Rusty_Blackbird,13,30,43.333333333333336
174,175.Pine_Warbler,13,30,43.333333333333336
120,121.Grasshopper_Sparrow,13,30,43.333333333333336
134,135.Bank_Swallow,13,30,43.333333333333336
160,161.Blue_winged_Warbler,13,30,43.333333333333336
118,119.Field_Sparrow,12,29,41.37931034482759
114,115.Brewer_Sparrow,12,29,41.37931034482759
125,126.Nelson_Sharp_tailed_Sparrow,12,30,40.0
