epoch,train_loss,train_acc,val_acc,lr,elapsed_s
1,4.3513,14.81,37.00,9.76e-04,88
2,2.3785,45.88,49.83,9.05e-04,73
3,1.6554,61.70,51.83,7.94e-04,73
4,1.3322,68.32,57.00,6.55e-04,75
5,1.0943,74.23,55.83,5.00e-04,76
6,0.9505,79.20,61.17,3.45e-04,73
7,0.8235,83.46,62.00,2.06e-04,72
8,0.7658,85.48,63.83,9.55e-05,73
9,0.7309,86.82,64.00,2.45e-05,79
10,0.6946,87.73,64.33,0.00e+00,79
