epoch,train_loss,train_acc,val_acc,lr,elapsed_s
1,4.0405,28.66,50.83,9.97e-04,1
2,2.1669,72.71,57.83,9.89e-04,0
3,1.3759,84.33,59.83,9.76e-04,0
4,0.9645,89.53,61.00,9.57e-04,0
5,0.7430,91.34,60.67,9.33e-04,0
6,0.5855,93.81,61.17,9.05e-04,0
7,0.4835,95.03,60.17,8.72e-04,0
8,0.4101,95.29,60.67,8.35e-04,0
9,0.3429,96.66,61.00,7.94e-04,0
10,0.2984,97.42,60.17,7.50e-04,0
11,0.2669,97.81,59.83,7.03e-04,0
12,0.2351,98.03,60.00,6.55e-04,0
13,0.2169,98.37,59.67,6.04e-04,0
14,0.1973,98.68,59.17,5.52e-04,0
15,0.1799,98.72,60.83,5.00e-04,0
16,0.1612,99.17,58.83,4.48e-04,0
17,0.1549,99.13,59.50,3.96e-04,0
18,0.1458,99.43,59.33,3.45e-04,0
19,0.1377,99.28,59.67,2.97e-04,0
20,0.1350,99.46,59.50,2.50e-04,0
21,0.1258,99.39,60.00,2.06e-04,0
22,0.1201,99.57,60.17,1.65e-04,0
23,0.1159,99.68,59.17,1.28e-04,0
24,0.1136,99.67,59.67,9.55e-05,0
25,0.1125,99.61,59.33,6.70e-05,0
26,0.1098,99.67,59.00,4.32e-05,0
27,0.1100,99.61,59.17,2.45e-05,0
28,0.1092,99.74,59.17,1.09e-05,0
29,0.1083,99.76,59.17,2.74e-06,0
30,0.1046,99.74,59.00,0.00e+00,0
