class_name,correct,total,accuracy
178.Swainson_Warbler,14,26,53.84615384615385
170.Mourning_Warbler,16,30,53.333333333333336
136.Barn_Swallow,16,30,53.333333333333336
111.Loggerhead_Shrike,16,30,53.333333333333336
180.Wilson_Warbler,16,30,53.333333333333336
037.Acadian_Flycatcher,15,29,51.724137931034484
115.Brewer_Sparrow,15,29,51.724137931034484
112.Great_Grey_Shrike,15,30,50.0
072.Pomarine_Jaeger,15,30,50.0
161.Blue_winged_Warbler,15,30,50.0
193.Bewick_Wren,15,30,50.0
056.Pine_Grosbeak,15,30,50.0
172.Nashville_Warbler,15,30,50.0
128.Seaside_Sparrow,15,30,50.0
174.Palm_Warbler,15,30,50.0
023.Brandt_Cormorant,14,29,48.275862068965516
119.Field_Sparrow,14,29,48.275862068965516
032.Mangrove_Cuckoo,11,23,47.82608695652174
155.Warbling_Vireo,14,30,46.666666666666664
096.Hooded_Oriole,14,30,46.666666666666664
103.Sayornis,14,30,46.666666666666664
167.Hooded_Warbler,14,30,46.666666666666664
131.Vesper_Sparrow,14,30,46.666666666666664
126.Nelson_Sharp_tailed_Sparrow,14,30,46.666666666666664
175.Pine_Warbler,13,30,43.333333333333336
104.American_Pipit,13,30,43.333333333333336
142.Black_Tern,13,30,43.333333333333336
118.House_Sparrow,13,30,43.333333333333336
124.Le_Conte_Sparrow,12,29,41.37931034482759
049.Boat_tailed_Grackle,12,30,40.0
156.White_eyed_Vireo,12,30,40.0
135.Bank_Swallow,12,30,40.0
157.Yellow_throated_Vireo,11,29,37.93103448275862
038.Great_Crested_Flycatcher,11,30,36.666666666666664
127.Savannah_Sparrow,11,30,36.666666666666664
025.Pelagic_Cormorant,11,30,36.666666666666664
062.Herring_Gull,11,30,36.666666666666664
130.Tree_Sparrow,11,30,36.666666666666664
121.Grasshopper_Sparrow,11,30,36.666666666666664
020.Yellow_breasted_Chat,10,29,34.48275862068966
039.Least_Flycatcher,10,29,34.48275862068966
129.Song_Sparrow,10,30,33.33333333333333
064.Ring_billed_Gull,10,30,33.33333333333333
066.Western_Gull,10,30,33.33333333333333
091.Mockingbird,10,30,33.33333333333333
173.Orange_crowned_Warbler,10,30,33.33333333333333
030.Fish_Crow,10,30,33.33333333333333
027.Shiny_Cowbird,10,30,33.33333333333333
146.Forsters_Tern,10,30,33.33333333333333
152.Blue_headed_Vireo,10,30,33.33333333333333
029.American_Crow,9,30,30.0
107.Common_Raven,9,30,30.0
123.Henslow_Sparrow,9,30,30.0
011.Rusty_Blackbird,9,30,30.0
196.House_Wren,9,30,30.0
009.Brewer_Blackbird,8,29,27.586206896551722
043.Yellow_bellied_Flycatcher,8,29,27.586206896551722
179.Tennessee_Warbler,7,29,24.137931034482758
071.Long_tailed_Jaeger,7,30,23.333333333333332
143.Caspian_Tern,7,30,23.333333333333332
059.California_Gull,6,30,20.0
117.Clay_colored_Sparrow,5,29,17.24137931034483
102.Western_Wood_Pewee,5,30,16.666666666666664
144.Common_Tern,5,30,16.666666666666664
116.Chipping_Sparrow,4,30,13.333333333333334
