class_name,correct,total,accuracy
168.Kentucky_Warbler,14,29,48.275862068965516
153.Philadelphia_Vireo,14,29,48.275862068965516
096.Hooded_Oriole,14,30,46.666666666666664
175.Pine_Warbler,14,30,46.666666666666664
111.Loggerhead_Shrike,14,30,46.666666666666664
193.Bewick_Wren,14,30,46.666666666666664
131.Vesper_Sparrow,13,30,43.333333333333336
031.Black_billed_Cuckoo,13,30,43.333333333333336
143.Caspian_Tern,13,30,43.333333333333336
178.Swainson_Warbler,11,26,42.30769230769231
117.Clay_colored_Sparrow,12,29,41.37931034482759
023.Brandt_Cormorant,12,29,41.37931034482759
072.Pomarine_Jaeger,12,30,40.0
025.Pelagic_Cormorant,12,30,40.0
136.Barn_Swallow,12,30,40.0
103.Sayornis,12,30,40.0
113.Baird_Sparrow,8,20,40.0
040.Olive_sided_Flycatcher,12,30,40.0
032.Mangrove_Cuckoo,9,23,39.130434782608695
030.Fish_Crow,11,30,36.666666666666664
167.Hooded_Warbler,11,30,36.666666666666664
174.Palm_Warbler,11,30,36.666666666666664
049.Boat_tailed_Grackle,11,30,36.666666666666664
121.Grasshopper_Sparrow,11,30,36.666666666666664
129.Song_Sparrow,11,30,36.666666666666664
065.Slaty_backed_Gull,7,20,35.0
115.Brewer_Sparrow,10,29,34.48275862068966
039.Least_Flycatcher,10,29,34.48275862068966
029.American_Crow,10,30,33.33333333333333
127.Savannah_Sparrow,10,30,33.33333333333333
011.Rusty_Blackbird,10,30,33.33333333333333
152.Blue_headed_Vireo,10,30,33.33333333333333
116.Chipping_Sparrow,10,30,33.33333333333333
144.Common_Tern,10,30,33.33333333333333
126.Nelson_Sharp_tailed_Sparrow,10,30,33.33333333333333
130.Tree_Sparrow,10,30,33.33333333333333
157.Yellow_throated_Vireo,9,29,31.03448275862069
135.Bank_Swallow,9,30,30.0
123.Henslow_Sparrow,9,30,30.0
172.Nashville_Warbler,9,30,30.0
173.Orange_crowned_Warbler,9,30,30.0
145.Elegant_Tern,9,30,30.0
118.House_Sparrow,9,30,30.0
091.Mockingbird,9,30,30.0
107.Common_Raven,9,30,30.0
155.Warbling_Vireo,9,30,30.0
071.Long_tailed_Jaeger,9,30,30.0
119.Field_Sparrow,8,29,27.586206896551722
037.Acadian_Flycatcher,8,29,27.586206896551722
009.Brewer_Blackbird,8,29,27.586206896551722
102.Western_Wood_Pewee,8,30,26.666666666666668
064.Ring_billed_Gull,8,30,26.666666666666668
062.Herring_Gull,8,30,26.666666666666668
020.Yellow_breasted_Chat,7,29,24.137931034482758
060.Glaucous_winged_Gull,7,29,24.137931034482758
142.Black_Tern,7,30,23.333333333333332
156.White_eyed_Vireo,7,30,23.333333333333332
043.Yellow_bellied_Flycatcher,6,29,20.689655172413794
104.American_Pipit,6,30,20.0
038.Great_Crested_Flycatcher,5,30,16.666666666666664
027.Shiny_Cowbird,5,30,16.666666666666664
179.Tennessee_Warbler,4,29,13.793103448275861
146.Forsters_Tern,3,30,10.0
059.California_Gull,3,30,10.0
