epoch,train_loss,train_acc,val_acc,lr,elapsed_s
1,4.2661,18.61,44.67,9.97e-04,1
2,2.5530,57.55,53.33,9.89e-04,0
3,1.7638,70.67,57.17,9.76e-04,0
4,1.3553,76.59,56.67,9.57e-04,0
5,1.1088,79.64,59.00,9.33e-04,0
6,0.9336,83.00,59.00,9.05e-04,0
7,0.8121,85.02,57.83,8.72e-04,0
8,0.7204,86.19,58.50,8.35e-04,0
9,0.6484,88.15,58.17,7.94e-04,0
10,0.5885,89.19,58.50,7.50e-04,0
11,0.5428,90.01,57.33,7.03e-04,0
12,0.4938,91.05,57.50,6.55e-04,0
13,0.4558,92.27,56.83,6.04e-04,0
14,0.4366,92.20,57.83,5.52e-04,0
15,0.4092,92.81,57.50,5.00e-04,0
16,0.3848,93.60,57.50,4.48e-04,0
17,0.3622,94.10,57.83,3.96e-04,0
18,0.3445,94.57,56.67,3.45e-04,0
19,0.3284,95.05,57.33,2.97e-04,0
20,0.3170,95.20,57.17,2.50e-04,0
21,0.3063,95.37,57.17,2.06e-04,0
22,0.3027,95.66,56.67,1.65e-04,0
23,0.2853,96.53,57.83,1.28e-04,0
24,0.2810,96.50,57.50,9.55e-05,0
25,0.2813,96.38,58.33,6.70e-05,0
26,0.2701,96.64,57.50,4.32e-05,0
27,0.2722,96.50,57.33,2.45e-05,0
28,0.2682,96.72,57.83,1.09e-05,0
29,0.2676,97.13,57.17,2.74e-06,0
30,0.2704,96.72,57.33,0.00e+00,0
