epoch,train_loss,train_mse,train_ce,train_acc,val_loss,val_mse,val_ce,val_acc,lr,elapsed_s
1,2.333951,1.068267,3.599635,18.54,1.648107,0.970110,2.326103,38.67,9.94e-04,211
2,1.656183,0.993361,2.319004,38.49,1.455493,0.954435,1.956551,47.50,9.76e-04,210
3,1.462735,0.962156,1.963314,46.53,1.452838,0.955999,1.949678,47.00,9.46e-04,205
4,1.335502,0.941897,1.729107,52.56,1.365746,0.898070,1.833422,51.17,9.05e-04,206
5,1.242961,0.929222,1.556700,55.04,1.347893,0.884328,1.811457,51.33,8.54e-04,212
6,1.173924,0.921494,1.426355,59.12,1.359655,0.895592,1.823718,53.00,7.94e-04,215
7,1.113888,0.904911,1.322864,62.05,1.295051,0.875474,1.714627,52.67,7.27e-04,211
8,1.032072,0.900654,1.163490,66.17,1.312244,0.866396,1.758092,53.33,6.55e-04,197
9,1.009892,0.898887,1.120896,67.30,1.302822,0.876929,1.728714,53.67,5.78e-04,205
10,0.950052,0.890264,1.009841,70.34,1.316571,0.848917,1.784225,55.83,5.00e-04,204
11,0.878274,0.889450,0.867099,75.03,1.300260,0.856548,1.743973,57.83,4.22e-04,208
12,0.873382,0.884396,0.862368,74.53,1.289330,0.841343,1.737316,56.00,3.45e-04,139
13,0.826412,0.877862,0.774963,77.49,1.261878,0.837842,1.685915,56.83,2.73e-04,118
14,0.785427,0.872374,0.698480,79.42,1.233613,0.823920,1.643305,61.17,2.06e-04,124
15,0.755578,0.872353,0.638803,81.66,1.225079,0.818484,1.631674,60.83,1.46e-04,115
16,0.732588,0.862116,0.603060,82.44,1.237607,0.816440,1.658773,59.83,9.55e-05,118
17,0.719326,0.860710,0.577942,83.09,1.237858,0.817189,1.658526,59.67,5.45e-05,122
18,0.726756,0.859358,0.594153,83.72,1.211543,0.812435,1.610651,59.83,2.45e-05,118
19,0.685566,0.851082,0.520051,85.45,1.222494,0.814125,1.630864,60.67,6.16e-06,78
20,0.692148,0.852062,0.532234,85.65,1.212254,0.811990,1.612518,60.50,0.00e+00,99
